256|1|4|??????#?#?#?? 2,2,6
1|1|1|###?##??.#????#? 7,7
11340000|14|420|?.?.????.?.???? 1,4,1,1
??..?.?#..?.. 1,2
9604|4|28|.???#?.?#??? 3,1,1
??.?????????????.?# 2,1,1,1,1,2
9604|4|28|???#?.??????? 3,6
1259712|12|216|????.??.?????#?.???? 3,1,1,4,4
2500|4|20|???#?.#???#???.???. 3,7,2
16|1|2|?#?.?#??#??.? 1,7,1
??#???#??? 2,2,1
256|1|4|????#???#????#.#???? 1,12,2
60000|6|60|??##???..???? 5,3
4251528|8|216|???#??##?.??.??? 6,1,2
1024|4|16|#.????..## 1,1,2
734832|7|126|.?????#??#?.#?##?? 1,5,1,2,1
1|1|1|??#?##????.#?##?#??. 4,6
7203|3|21|?.?##???##????#????. 1,12,1
???????.??#???? 1,1,6
1|1|1|??#?.???.#??..???? 1,1
32|2|4|#?#??##???.?#? 3,5,3
#????##??#?????? 1,8,1,1
256|1|4|?.??##??#.? 2,1,1
5184|4|24|?..???##??#?? 1,1,2,3
1|1|1|?#?#?##.???#... 6,3
40000|4|40|??#??#??#?.#?????## 2,1,2,1,5
32|2|4|.#?##?..#?#??#?? 1,2,3,3
??#??#??????? 5,1,2
5184|4|24|.????#?.??? 4,2
1|1|1|#??.##.?.##??? 1,1,2,4
4950967|7|203|.???????#?#???.? 2,1,1,4
?#???#??#?????#.??? 1,1,2,2,1,2
12582912|12|384|?.#?????.?????????#. 1,2,1,4,1,2
7776|6|36|?.????#????.?##??? 7,5
.???#?#?????? 2,1,1,1
#?#?##???????###? 8,1,5
3888|3|18|.??.????#. 2,1,1
12288|3|24|..?..#?.??? 1,2,1
1120000|7|140|?.?.#?#?.?.??.??? 1,1,4,1,2
7203|3|21|???##?.?.#???? 2,2,1,2
32|2|4|???##.#?#???## 1,2,8
1|1|1|?.#?.???#?#?#?#.?.? 1,1,6,3,1,1
???##?.?????? 5,2
334084|4|68|???#.????#??? 1,3,1
103680|5|60|??????????#? 5,1
1024|4|16|??.#???.#?????#?.# 1,1,2,2,3,1
???#?#?????#???#? 1,3,1,5
16|1|2|?#????????#????## 1,1,4,2,4
243|3|9|?????#.??#??#?? 1,1,1,1,6
2500|4|20|.?.#?#.?#??????#?? 1,1,1,3,2,3
3125|5|25|.??#???##?##??. 3,6
..???#???.??? 2,1
.????#???. 1,1,1
171366|6|78|????##???.??????? 1,2,1,7
81|1|3|?????????????#.?. 2,9,1,1
1280000|8|160|??#?..??.?? 2,1,1
1024|4|16|??#??#??.?#??# 7,2,1
32|2|4|#?#???????#?? 1,1,8
???..#???? 1,2,1
30000|3|30|#??.?????. 2,1,2
?.???#???????#?#???? 1,6,3,3
.???#?#?#????#?.?#.. 13,1
?#???##??#????#?#??? 2,14
??.????.???????? 1,2,4,1
.???#?.??????#??#??? 5,6,3,1
???.##.?#??????#??? 1,2,1,1,5,1
?.??.????.??#.??# 1,4,1,1,3
???#????##?.?#?? 3,3,2
???#???.#?#??? 4,1,3
?#?#?#?####????#?. 1,14
??#??????.? 2,3
??#??????????#. 5,2,1,1
.?#.?#.??????. 1,1,1,3
????????????? 1,2,2,1
#?#??.?#????## 5,3,3
???#???#?# 4,1,1
.#?.???????.#. 2,3,1,1
..????##????#?#?? 7,4
?#????#?????#?#??? 8,1,1,1,1
????#??..????. 3,1,2
??.??.?#.? 1,1,1
??????.?#.?? 2,1,2,1
?#??.???#?.?..???? 1,1,2,1,2,1
???.???.?#???? 1,3
???.??????..?.? 2,1,3,1,1
????????#?.#?#????.? 2,1,3,7,1
..??..#?###??#???.? 1,9
???#??.#??. 2,2
??#.???????.? 2,1,1,1
.???##??.?.??.?? 4,1,2
??#?#..???#??#???# 2,1,2,4,1,1
??#???##????#.??? 2,4,4,2
.?????#?#?? 1,2,2
#??????#.?????? 2,1,1,1,1
??????#??.?? 1,1,2
?..?#.??#?.? 1,2,2,1
.#??#?#?.? 1,4
#??#???????.?##? 7,2,2
?#??.#??##.#.???##? 1,1,1,3,1,6
??.?.??#?##???????.? 2,1,9,2,1
.?..#???#?#. 1,1,1,1
?.?.?????? 1,1
??##?????.#?#????? 7,8
??#?###?.?#??#??#?? 7,1,5,1
???#?#?...#???? 1,4,1,1
???????####?.?#????? 3,5,5
??.?.?????#? 1,2,1
.?????#???#???? 4,4
.?####???.??# 6,1,1
???#????.??#?#? 3,1,1,4
??#???.??.#???# 3,1,1,1,1
????#??????#? 7,3
??####?#.??#???#??#? 1,6,1,3,1
?#?###??.??.?#??. 7,4
.??.??#??#..? 1,2,1,1
????.?????.?##??. 3,1,1,5
????#?????.?. 4,1
#???.?#?##??..#?# 1,1,6,1,1
???#?#????????.??.? 1,8,1,1,1
????????????###?# 6,5
???#?.??##??.?. 1,2,4,1
#.?#??????#??? 1,1,5
????????#????.???# 9,2,4
??.??#?.#?#? 1,2,4
??#.????#???#?? 1,1,2,1,4
????.#?.##? 2,1,2
.??####..#????#. 6,3,1
???.??####???? 1,1,4,2
.???.#?#?#???? 1,9
??#??..?????.. 4,1,2
???????#???#.??#. 3,1,3,2
?..#?#???..#???. 6,3
.#??#???#?????#??? 1,14
.?#?#?.???.?#???? 4,3,2,1
#????#?#?.?#?## 9,1,2
????????.??#???? 2,3,1,1,4
??????????????#??##? 2,6,7
?????.????????.???? 3,6,2
???.??.?#?? 2,1,2
?.???#??.?.???? 1,6,1
?#.#????????#.???? 1,1,3,2,2
??????##?????????? 1,12
#????#??#?##?#?.?#?? 1,1,10,1,1
?#???#????? 1,5,1
.?.#??##?????. 1,5,1,1
..?.???#??#?##?? 1,2,5
.?????#???.???. 1,1,3,1
.?.?###??#??? 1,7,1
??????????#??#??##? 4,3,3,1,3
????#????.??.???? 8,1,1
.?.????#?#?.????## 6,2
???.??.????????? 1,1,1,1,4
??..???.#? 1,1,1
??.????##.? 2,1,2
?..#?##????##?##??# 1,1,2,9,1
.???.#??#?#.#? 2,1,4,1
??.???????#????? 2,1,1,1,2
????..##???.?.?. 1,2,2,1,1
#??#??????#??.##? 5,1,1,1,2
.????#???? 4,1
.??#.??.?.?## 2,1,1,2
??.????#????#?? 1,6
??#?????#?#????? 1,5,1,3,1
????..???.? 3,2
??.?????????##.??#. 11,1,1
...##?..#.??.???? 3,1,1,2
????????????. 1,1,1,1
??.???#??.?.????? 1,1,4,1,1
#?.#????.##?? 1,2,1,3
#?.#????????? 1,6,1,1
?#??????..??#?? 8,1
?#.?#???#??????#? 2,1,8,2
?.???.???#.. 1,1,2,1
.#.??#?.??#?#?? 1,3,6
..????????.???# 3,1,1,1
????.?#?.????.????? 1,3,3,1,1,1
##??#?#???.?..#? 5,1,2,1,1
?.?.????#. 1,3
#?#???????. 5,1
?#???.#?##?? 3,6
??????.??. 1,1,2
..????????#.? 1,4
?#?##?..????????? 4,2,1,3
.#????.?#.? 1,2,2
?#?##????? 1,5,1
????????.?? 1,3
?####?..??#??? 5,2
#??#????#??? 4,2,1
??.?#??##.?? 6,1
???????##.?.??. 1,3,2,1,1
?.?#??#..?? 2,1,1
.#??#??????#??#?? 4,10
?????#???????? 1,8,2
?#.?.??????.?# 1,1,2,2
??????#?#????#?##?# 4,13
?????#?#?#??.#??##. 1,1,1,4,1,3
.?????###??#?#.#.?. 1,5,1,1,1,1
..???..?#..??#?? 2,2,2
..??????.???##?#? 5,4
????.?#?.??#?.??##.? 2,3,3,4,1
??#?..#???????? 2,6,1
?.##.?..#???##?????? 1,2,1,7,1
??####??????????.. 6,5,1
.?#.????### 1,1,4
?????.?##..?? 3,3,1
???????????#?????#?? 1,10
?.#.?.???##??#?#?#?. 1,1,12
?#?????#???? 1,2,2
??.?#???.???##?###? 1,3,10
??#????#??#???#??# 5,1,2,2,1
.?#??????#?? 2,5
?##??#???#?#????.??? 11,1
???????.?.??? 3,3
?#?#?..#???.??? 1,1,3,1
?#..?.??#?? 1,1,2
??#???.??. 4,1
#?#????????##?????.? 1,5,5,2
???????#?? 3,1
.#?.?#???##?????.??? 2,12,1,1
???#???#???? 1,1,6
??##?????##?#.??. 5,4
???#.???#???.?#???? 1,1,5,1,6
?#???.??#??????. 2,8
.?#??#?.??????.? 2,1,3
#??#??##?.? 8,1
??#??????#.????#..?? 8,4
#?.????.??? 1,4,1
???????#?.???#? 6,3
?#??.??#.??#???# 1,1,1,6
?#???????#??????? 7,5,1
??.?.#???? 2,1,4
????..#??? 1,1,1
.??..???#..?# 2,1,1,1
?#.?????????.?#??? 1,4,3,1,1
??#???##?#?????#??? 9,1,2
?????.?#.??? 1,1,1,1
???????#.. 2,2,1
.#.?#?#?#??#????. 1,9,1
#??.?#???.#.??? 2,1,1,1,1
??###?.???# 6,1,1
???.???#?#???? 2,1,4,1
.????.?#??.?## 1,2,2,2
??##??#?#????.? 3,8
???????#.???? 1,2,1,1
?#????#?#??.#?# 1,2,1,1,1
??#.##?.##??? 2,3,2
???????#????#??##?.? 6,1,7
?#???.?.#?????#?#??? 3,1,1,3,5,1
????.????? 1,1,2
??..#??#?.. 1,4
?.?#?.???#..?????? 2,4,4
#?###??#?????#.. 8,1,3
??#??#????#.#?.. 6,1,2
???#???#??.??#? 6,1,1
??..#?###?#??.? 1,9
??.?#?.??? 3,1
.#??????.? 1,3,1
.??##.?#.? 2,1,1
????#.?.?#?#?##?.?? 4,1,2,4,1
.##??.??.??? 4,1,3
???????#??#?#?#?. 7,6
???..##?#??#?.? 2,5,1,1
##???.??.?. 4,1,1
.????###?.##????#. 1,4,2,4
.?.#?#..?.#??#?. 1,3,1,5
.##?#????#???#???? 13,3
##.#???#???#.??# 2,1,6,3
.??????.??#?.?? 4,1,1
????#..???? 1,1,2
?..????.??...???. 1,1,3
#?#???#?????????# 1,5,3,4
?????#??.????#??. 5,1,3
???###?????#????.?# 8,5,1
#??#?????.??#?? 4,2,2
?.??????????? 3,1
?#.?.?#???? 1,3
?.???????.?.???.? 1,4,3
?.#????#???.. 1,2,4
????#?????#?##??#? 1,12,2
?.??????#????#?? 10,1
.?..??#????.# 1,2,2,1
?.???????#. 1,1,3
??????????????.? 1,3,4,1,1
??????#???. 1,5
.#??????#? 3,1,1
??.????##?.? 1,2,4
#???#??????#??.#??# 6,1,1,3,1,1
??#.????.? 3,4
##??.?#??.?##???#??. 2,2,1,2,4
.?????.##????????#? 1,12
?#?.??.????? 1,1,1,1
.##?#?#???? 2,7
.#????.?.?#.?.? 5,1,2,1,1
.??#.?????#.? 2,5
#?????????##?#??.??? 3,1,1,5,1,1
??????#????#?##?#? 1,1,1,2,4
?#?????#.? 2,3
?????#?.??#? 1,1,1,1
?????#.??.? 6,1,1
?.??.???#.#???.?#??? 1,1,1,4,3
???#?????#???????? 2,1,4,1,3,1
???#??.?#?? 1,1,2
????.??#?.? 2,4
?.##??#?.#???#?? 1,5,1,2
#?...??.#?.#???? 2,1,1,2,2
???.??#?.#..? 1,2,1,1
#?.?#?#??????#?#? 1,1,10
????????#??#?????? 2,1,4,4
???##??#??#??.?.?# 9,3,1,1
?????.??.#??? 3,1,1,1
?.????#??????#????. 1,4,1,7
??##??.?????????#?? 6,4,1,1,1
#????##???.???.?#? 10,2,2
???.#?????.?? 3,1,1,1
.???#?##???#? 1,5,1
??.#.??.??.#?##??.? 2,1,1,1,5,1
??#?#??#.??????????? 3,2,1,1,7
?.#?.?#???. 1,4
???###????.??? 5,3,1
#?##??????????.? 5,1,2,1
#???.???#???? 1,1,5
?#??..?..?#?? 3,1
??.????????#???.?. 2,3
?????##??##?.#??? 1,2,4,1,1
#..??#..?#?????#?? 1,1,1,10
???#?????????##.?? 1,1,4,1,2,1
?.??????..#?????#. 1,1,2,7
??????#?#?#?#? 1,1,7
?..????#???#??#?? 1,3,1,2,4
?????????????????# 1,1,1,1,3,3
???.#????#??????... 6,1
????.?.?#?##?#?.??? 3,7
?????.?.?##?? 2,1,1,3
????.???#?#?#??#???# 1,1,12,1
##?#.?#??## 4,2,2
??##?????##??.?#? 10,2
?.#?#????#..?#??##? 1,3,1,5
?##?##?????????? 7,6
????#.#?#????? 4,3,1
?.#???????#???.# 11,1
???#????#?.???? 3,3
?#??????#?#??#??.?? 14,1
???????????????.?.?. 4,1,1,2,1,1
#?.???##??.#.?? 2,1,4,1,2
.##?.?.?.??????.??? 2,3
###?.???##?# 3,6
..???##.??.? 5,2
????????#???.?#??# 2,1,6,2,1
?.??#??????.... 5,2
?.??????#?.#????? 3,3,2,2
?#.???.#?? 1,1,3
?????#???#?.#.? 1,2,4,1,1
##??#??.????#.?#? 5,1,2,1
?#????.??? 1,1,1
.#?.???###?##?? 1,5,4
.????#.??.#??#?#??? 1,1,1,6,1
??.#.?##???#?#?????? 1,1,7,1,1,1
?.?#...#?????#????. 1,1,2,6
?#?.#???.?? 1,3,2
.?#???##?? 2,5
#????####.#?##.#.?? 9,1,2,1,1
?.???#?????#.#? 1,1,1,3,1
.???#????...????# 7,4
#???.#???##?##?.?#? 1,1,2,6,3
?.?##????#?????? 1,9,1
?#????..?? 1,3,2
??.??????.#? 1,1,2,1
?????..#??#?????#?# 4,1,8,1
???????.??????. 1,2
?##??..#???????.. 4,3,1,1
??#???..?#???? 4,3,1
??????????????.????? 1,3,4,1,1,1
???.#?.?##? 2,1,2
???.??.??.?#? 3,1,2,2
?????????? 1,7
.??????#??#?.?#???. 10,4
??#???#??#.??????# 10,2,2
??.??????. 1,2,1
????.#????? 1,2,1
??#.#???#.? 1,1,1
#?#.?????#??.###?? 1,1,7,4
???#.???#??#?.??? 3,3,2,1
??#????.?.?##?.. 4,4
??..????.?#??.# 2,1,1,2,1
#??#??##???.????. 2,1,4,1,1
?.#??###?#?.????#?#? 1,6,6
.??????#??.??####?? 1,4,7
?.???#??.#?? 1,3,1
???#??#??.?? 6,1
?##..???.? 3,1
?????..#?#?????.? 3,8
?.?##????#????. 2,4
?#?#??????. 1,1,2
.????#???.????. 1,1,1,1,1
????#??##?.?.?#.. 8,1
??##?#????#?? 7,2
?#????###?#??#? 2,9
????????????#???.?? 1,1,3,8,1
?.?#??#????#?#?#?. 4,5
??.??.???. 1,1,1
.??.??#????.??#..? 2,3,2,2,1
?###????#..??###.?. 8,4
??###????????????# 5,1,1,1,1
..???#??.?? 3,2
##.???.???#? 2,4
???#???#.???#? 7,3
?.???..???#??##.#.? 1,1,8,1,1
.?#?#??.??? 4,1
??##?.????? 4,3
.????.?#..?#.????..? 2,1,2,3,1
????##??????#? 6,4
?.??#?????..? 7,1
?????#?#?..?????? 7,2,1
.??.??????? 1,2,3
#?#####??#???#??#?? 11,2,1
?#??#?????.???? 6,1,1
?.?????#?#???.? 1,1,6,1,1
#?????????#??.#.?# 6,1,1,1,1,1
?#?##??#??.#??#?.# 4,2,1,1,3,1
??????#??..???##??? 7,4
#????#???.?.?#?# 1,4,1,1,1
?#?#???#????. 1,7
?????###????? 2,5
#?????.#?.???????? 1,4,1,4,1
??.???###?##??.??#?# 1,1,8,1,3
??.?????#? 1,1,4
????????#?.????#? 1,7,2
.????.???????#?####? 4,1,9
??.?#.??.????#??#?? 2,6
??#?????.???#?#??? 3,1,8
???.??.???..???.?.. 1,2
?????#??????### 1,3,1,1,3
#?.???#??#?????#???. 1,1,2,4,3,2
??.??#?#??#?#?? 1,5,1,1
??.?#???#???? 2,2,4
.?.??#???##.?.??.. 7,1
???#????#?#.??.?? 4,1,1,1,1
?????#.?.?#????. 4,4
???.#?.????###?##??? 1,1,1,1,8
??????.????##?? 1,1,4
?????.?#?.????## 1,2,1,4
?????#??#???? 5,1,1
.?.???#???#???????? 9,1
?##????#??#.??? 4,5,1
??.#?#?#???????#???. 5,3
????#?#?.?????. 1,5,3,1
?.#?.#???#?##?? 1,5,3
.????.??####?#?? 2,1,1,8
?.??????.????? 1,3
??#?.?##?.??????.?# 2,4,2,1,1
?.??#??????#.??.##? 9,2
??#.?.#?#?# 3,5
????#.?#???#? 2,1,3,2
#?????#?..?.#? 1,5,1,1
.??#?#?#??###?#??.? 1,1,12,1
##???.?#????#? 5,7
???#???#??. 1,7
??????.???. 3,2
##?????????????.#? 7,2,2,1
??.??##.????#.??? 3,1
.#??##?...????? 6,2
????.??#.????. 4,1,4
???????..?#. 5,2
?.?#???.????###???? 3,8
?#?.??????#.?? 2,7,2
??????#??#? 1,4
.??#????###???#?? 2,4,2
.?#?#?##??#??#??.#?? 6,3,3,2
?.????????#???##??? 3,5,5
??????.????? 1,3,2,1
..????#????##.???#?# 9,5
##?#?????.???#???? 5,1,2,2,1
???#.????#????.?##. 1,1,2
.????????. 3,1
?#?.?#.#.?????? 3,1,1,1,3
#??.##?????#?..??..# 1,4,3,2,1
.??.???????#??? 1,1,6
??.???#?.? 1,3
?#?#?????.??#.? 5,2,2
??#?.??#?#?? 1,5
??#??###??????.?? 1,11,1
??.???????## 1,5
????..??#.???.? 1,1,2,2
??##????#. 2,3
?#.?###????# 2,3,1,1
???#??.????.? 1,2,3,1
..???..?????#??#? 3,8
.?.???????.#????#??? 1,2,1,1,1,4
??.?#?#???????# 1,3,2,1,1
??#?.#?..? 2,1,1
?.?.?##.?.#?? 3,2
.???.???#????????? 2,3,2,3
????.?#??.?..?????? 1,1,2,1,6
.?#?#???####??????. 11,1
#?#???#??????##? 1,1,1,1,7
#???#???????.?# 9,1,2
???#???.???? 4,1,1
#?.?.???????. 1,7
??????#??#??.? 1,7
?????????? 5,1
.??#??????.??? 7,1
?.##?????? 1,2,2
#??##???????? 1,4,1,2
??.#?.#?.??? 2,1,2
?.?#??????##?#?#... 2,7
.????#??##?#.????? 1,3,3,1,1,1
?#?##??#???.?????.?# 11,3,1
?#.?..???? 1,1,1
???.??#??###?###.... 1,11
??#.?????#.#.?? 1,1,1,1,2
???#?.??#?.?##. 1,3,2,2
?##..??.#.?????? 2,1,1,4
?.??.?#?#? 1,1,2
.##?.?????.? 2,3
..????##???? 5,1
???.?#???..#?. 1,4,2
?????..?#?#?.? 1,1,5,1
???#????.## 3,2,2
#??????.#??? 6,3
.??#?.???# 3,2,1
???#???#?#.?##?.??. 9,4
.??..?..#??? 1,1,1,1
.???#..??#???? 4,1,1,1
?##??##????.???#.?? 9,1,1,1
.???#?#??????#?? 6,1,2
?#??#????? 5,2
?????#??#???? 1,3,1,1
?????.???? 1,1,2
?.?...?#?.?##?.?? 1,3,3,2
?#????.??#??? 3,5
?????.#??# 2,1,4
?#.?##?##?????# 2,2,4,2
#???????#??????.#??. 10,1,1,1
?##?#??.????.???## 7,1,1,1,3
?????...????#??.?. 2,6
????????#??#?#????? 8,3,3
##??#??#??#.?#?? 5,2,2,3
???#?????.?? 1,1,1,1
#..###??????? 1,4,2
??.?##??????#?##. 1,13
.?#?#.???# 4,1,2
.???#####????? 2,5,1
???.????.? 1,2,1
.????#?#??.? 1,1,5,1
?.##???????.#. 5,1,1
??.??#.?????.. 1,2,4
??#??.?.?. 3,1
#???.??.???????#? 4,2,4,1
???#??#????????#? 1,12,1
?#?#??#????##??. 1,4,1,4
?#?.??.#??.?? 1,1,2,2
??.#?.??.?#??##????? 1,1,1,2,4,2
??#?????????.??? 1,2,1,3,3
??.?.?.???#? 1,1,1,1
????????#.?? 1,3,2,1
??.?.?#??.?..?? 1,2
.???.????#??.?? 1,1,1,1,3
#????.?#.??.#??.#?# 2,2,1,3,3
.#????.#?. 1,1,2
???#.???.????#?? 3,3,4
#??#?????#???.????? 1,9,1,3
????????..?#? 1,4,1
.?#####???.??##???.? 9,6,1
???##?????#?#.#? 8,1,1,1
?##???##?.?#?# 8,3
???#?????? 3,3
??.?????????????? 1,1,6,1,1
????#?.???#?#????.? 4,8
..?#?.????#??? 2,6
.????#??#???.????#? 5,5
..??????????? 1,2
?.???????.. 4,1
.????????? 3,4
???????..# 2,2,1
????#??.????? 5,4
#??##??.#??#.?.?? 7,1,1,1
.??????.?#.?.??#. 5,2,3
.#?#???????.??#?#??? 7,7
??#??????. 2,2,1
??????????#? 1,8
.?#???????# 7,2
##.???????#?.???.?? 2,9,3,1
#?..#?.???.# 1,2,2,1
#?##?????.?#?????. 1,7,2,4
?##?##?#??..??#?? 10,1,1,1
??.???#???.??? 1,1,3,1
.?..?.?.#? 1,1,2
?#??????????##???? 1,11
??#?##???#????#??#? 1,8,1,3,1
.?##?#.???.???.#??? 5,3,3,3
.??.?.#???? 1,5
.#?#???#.#.?#?#.?#? 7,1,4,2
.#?#???????#.#??.??? 3,3,1,1,1,1
#.??????#?????. 1,8
??.????#??#?##?#? 1,1,6,5
??#.???????? 1,1,7
#?##?##????.??.?? 7,2,1,1
??????##?#..?.??.? 1,2,4,1,1,1
???#?.?#??#??.??? 3,7,1,1
##????????##???.#? 4,7,1
??#?????.?. 3,3,1
??#??#?#?#?..?????? 9,2,1
